07-07 10:19 fdr_control  DEBUG    thresh 0.0750 | est fdr 8.8636 | true fdr 0.1364 | true power 0.1187
07-07 10:19 fdr_control  DEBUG    thresh 0.0747 | est fdr 8.9091 | true fdr 0.1364 | true power 0.1187
07-07 10:19 fdr_control  DEBUG    thresh 0.0746 | est fdr 8.9545 | true fdr 0.1364 | true power 0.1187
07-07 10:19 fdr_control  DEBUG    thresh 0.0740 | est fdr 9.0000 | true fdr 0.1364 | true power 0.1187
07-07 10:19 fdr_control  DEBUG    thresh 0.0740 | est fdr 9.0455 | true fdr 0.1364 | true power 0.1187
07-07 10:19 fdr_control  DEBUG    thresh 0.0738 | est fdr 9.0909 | true fdr 0.1364 | true power 0.1187
07-07 10:19 fdr_control  DEBUG    thresh 0.0737 | est fdr 9.1364 | true fdr 0.1364 | true power 0.1187
07-07 10:19 fdr_control  DEBUG    thresh 0.0737 | est fdr 8.7391 | true fdr 0.1739 | true power 0.1187
07-07 10:19 fdr_control  DEBUG    thresh 0.0734 | est fdr 8.7826 | true fdr 0.1739 | true power 0.1187
07-07 10:19 fdr_control  DEBUG    thresh 0.0732 | est fdr 8.8261 | true fdr 0.1739 | true power 0.1187
07-07 10:19 fdr_control  DEBUG    thresh 0.0731 | est fdr 8.8696 | true fdr 0.1739 | true power 0.1187
07-07 10:19 fdr_control  DEBUG    thresh 0.0727 | est fdr 8.9130 | true fdr 0.1739 | true power 0.1187
07-07 10:19 fdr_control  DEBUG    thresh 0.0727 | est fdr 8.9565 | true fdr 0.1739 | true power 0.1187
07-07 10:19 fdr_control  DEBUG    thresh 0.0726 | est fdr 8.5833 | true fdr 0.2083 | true power 0.1187
07-07 10:19 fdr_control  DEBUG    thresh 0.0724 | est fdr 8.6250 | true fdr 0.2083 | true power 0.1187
07-07 10:19 fdr_control  DEBUG    thresh 0.0721 | est fdr 8.6667 | true fdr 0.2083 | true power 0.1187
07-07 10:19 fdr_control  DEBUG    thresh 0.0718 | est fdr 8.7083 | true fdr 0.2083 | true power 0.1187
07-07 10:19 fdr_control  DEBUG    thresh 0.0712 | est fdr 8.7500 | true fdr 0.2083 | true power 0.1187
